gram@eh2000;@eh2000;95.47;95.622;48;лошадей;лошадь;NOUN;_;Animacy=Anim|Case=Acc|Gender=Fem|Number=Plur;47;obj;_
gram@eh2000;@eh2000;95.622;95.773;49;/;/;PUNCT;_;_;50;punct;_
gram@eh2000;@eh2000;95.925;96.076;50;раазныых;разный;ADJ;_;Animacy=Anim|Case=Acc|Degree=Pos|Number=Plur;48;appos;_
gram@eh2000;@eh2000;96.076;96.228;51;/;/;PUNCT;_;_;53;punct;_
gram@eh2000;@eh2000;96.53;96.682;52;аа;а;CCONJ;_;_;53;nsubj;_
gram@eh2000;@eh2000;96.833;96.985;53;нашли;найти;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;4;conj;_
gram@eh2000;@eh2000;97.136;97.288;54;как;как;SCONJ;_;_;56;advmod;_
gram@eh2000;@eh2000;97.439;97.591;55;раз;раз;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;54;fixed;_
gram@eh2000;@eh2000;97.742;97.894;56;э;э;PART;_;_;57;det;_
gram@eh2000;@eh2000;98.045;98.197;57;жженщину;женщина;NOUN;_;Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing;53;obj;_
gram@eh2000;@eh2000;98.348;98.5;58;одну;один;NUM;_;Case=Acc|Gender=Fem;57;nummod:gov;_
gram@eh2000;@eh2000;98.5;98.651;59;/;/;PUNCT;_;_;61;punct;_
gram@eh2000;@eh2000;98.803;98.954;60;котораЯ;который;PRON;_;Case=Nom;61;nsubj;_
gram@eh2000;@eh2000;99.105;99.257;61;занимаетсЯ;заниматьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;58;acl:relcl;_
gram@eh2000;@eh2000;99.408;99.56;62;продажей;продажа;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing;61;obl;_
gram@eh2000;@eh2000;99.711;99.863;63;лошадей;лошадь;NOUN;_;Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur;62;nmod;_
gram@eh2000;@eh2000;99.863;100.014;64;/;/;PUNCT;_;_;68;punct;_
gram@eh2000;@eh2000;100.014;100.166;65;/;/;PUNCT;_;_;68;punct;_
gram@eh2000;@eh2000;100.166;100.317;66;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;68;nsubj;_
gram@eh2000;@eh2000;100.469;100.62;67;были;быть;AUX;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;68;cop;_
gram@eh2000;@eh2000;100.772;100.923;68;маленькие;маленький;ADJ;_;Case=Nom|Degree=Pos|Number=Plur;4;conj;_
gram@eh2000;@eh2000;101.075;101.226;69;и;и;CCONJ;_;_;73;cc;_
gram@eh2000;@eh2000;101.378;101.529;70;ей;она;PRON;_;Case=Dat|Gender=Fem|Number=Sing|Person=3;73;iobj;_
gram@eh2000;@eh2000;101.68;101.832;71;раньше;рано;ADV;_;Degree=Cmp;73;advmod;_
gram@eh2000;@eh2000;101.983;102.135;72;таам;там;NOUN;_;Case=Dat|Degree=Pos|Number=Plur;73;iobj;_
gram@eh2000;@eh2000;102.286;102.438;73;написывали;написывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;643;conj;_
gram@eh2000;@eh2000;102.438;102.589;74;/;/;PUNCT;_;_;75;punct;_
gram@eh2000;@eh2000;102.741;102.892;75;спрашивали;спрашивать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;643;conj;_
gram@eh2000;@eh2000;102.892;103.044;76;/;/;PUNCT;_;_;172;punct;_
gram@eh2000;@eh2000;103.195;103.347;77;а;а;CCONJ;_;_;81;cc;_
gram@eh2000;@eh2000;103.498;103.65;78;вот;вот;PART;_;_;79;advmod;_
gram@eh2000;@eh2000;103.801;103.953;79;эта;это;DET;_;Case=Nom|Gender=Fem|Number=Sing;172;det;_
gram@eh2000;@eh2000;104.104;104.255;80;сколько;сколько;NUM;_;_;81;nsubj;_
gram@eh2000;@eh2000;104.407;104.558;81;стоит;стоить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;166;conj;_
gram@eh2000;@eh2000;104.71;104.861;82;лошадь;лошадь;NOUN;_;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;81;nsubj;_
gram@eh2000;@eh2000;104.861;105.013;83;?;?;PUNCT;_;_;82;punct;_
gram@eh2000;@eh2000;105.013;105.164;84;/;/;PUNCT;_;_;88;punct;_
gram@eh2000;@eh2000;105.316;105.467;85;а;а;CCONJ;_;_;88;cc;_
gram@eh2000;@eh2000;105.619;105.77;86;эта;это;DET;_;Case=Nom|Gender=Fem|Number=Sing;87;det;_
gram@eh2000;@eh2000;105.922;106.073;87;скок;сколько;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;88;nsubj;_
gram@eh2000;@eh2000;106.225;106.376;88;стоит;стоить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;669;conj;_
gram@eh2000;@eh2000;106.376;106.528;89;?;?;PUNCT;_;_;88;punct;_
gram@eh2000;@eh2000;106.528;106.679;90;/;/;PUNCT;_;_;95;punct;_
gram@eh2000;@eh2000;106.679;106.83;91;/;/;PUNCT;_;_;95;punct;_
gram@eh2000;@eh2000;106.83;106.982;92;а;а;CCONJ;_;_;95;cc;_
gram@eh2000;@eh2000;107.285;107.436;93;э;э;PART;_;_;95;nsubj;_
gram@eh2000;@eh2000;107.588;107.739;94;год_два;год_два;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;95;nsubj;_
gram@eh2000;@eh2000;107.891;108.042;95;переписывались;переписыватьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;166;conj;_
gram@eh2000;@eh2000;108.042;108.194;96;/;/;PUNCT;_;_;99;punct;_
